Deutsch,Portuguese
der,a
und,e
in,no
sein,ser
ein,uma
haben,Ter
sie,tu
werden,vai
von,a partir de
ich,EU
nicht,Não
es,isto
mit,com
sich,si mesmos
er,ele
auf,sobre
für,para
auch,Além disso
an,sobre
dass,este
zu,para
als,Como
dies,isto
wie,quão
wir,nós
ihr,sua
so,então
bei,no
sein,ser
aber,mas
man,Homem
noch,ainda
nach,depois de
oder,ou
all,Alles
aus,Fora
was,o que
nur,só 
sagen,dizer
dann,então
wenn,E se
müssen,devo
um,por aí
ja,Sim
kein,não
über,sobre
da,lá
geben,dar
vor,antes
mein,minha
mehr,mais
Jahr,Ano
du,tu
durch,Através dos
viel,um monte de
wollen,querer
machen,fazer
andere,outro
sollen,devo
schon,legais
kommen,venha
mir,Eu
immer,sempre
mich,Eu
gehen,caminhar
groß,excelente
hier,aqui
ganz,bastante
zwei,dois
also,então
jetzt,agora
doch,ainda
wieder,novamente
uns,nós
gut,Bom
bis,até
wissen,saber
sehen,Vejo
einer,1
sehr,muito
Mal,Vezes
lassen,sair
neu,Novo
stehen,ficar em pé
unser,nosso
jede,cada
weil,Porque
unter,entre
Mensch,pessoa
ihm,dele
ihn,dele
denn,Porque
Beispiel,exemplo
erste,primeiro
Zeit,Tempo
lang,longo
leben,Vida
Frau,mulher
etwas,algum
selbst,até
wenig,pequeno
finden,Achar
gegen,versus
zwischen,entre
drei,três
liegen,mentira
wo,Onde
nichts,nenhuma coisa
klein,pequeno
Tag,Dia
deutsch,Alemão
bleiben,permanecer
nun,Nós vamos
sondern,Então o que
heute,hoje
beide,Ambas
hoch,Alto
damit,em ordem de
ohne,sem
Mann,cara
welch,o que
tun,pendência
einmal,uma vez
ihnen,eles
heißen,significar
ob,E se
denken,pensar
dabei,incluído
seit,Desde a
einfach,simples
Kind,filho
stellen,por
zeigen,demonstrar
natürlich,Naturalmente
alt,velho
dort,lá
Deutschland,Alemanha
gleich,mesmo
nehmen,levar
dürfen,permitido
wichtig,importante
vielleicht,possivelmente
hören,Ouço
Haus,Casa
nein,não
wer,quem
dazu,para
eigentlich,na realidade
letzte,último
fragen,questões
Herr,Senhor. 
halten,guarda
glauben,acreditam
Frage,pergunta
gelten,é válido
gerade,somente
folgen,Segue
sprechen,falar
führen,liderar
bringen,trazer
Welt,Mundo
gar,de forma alguma
eigen,ter
genau,Exatamente
mögen,gosta
spät,atrasado
bereits,já
möglich,possível
Prozent,por cento
während,no decorrer
einige,algum
dafür,Portanto
kurz,baixo
richtig,correto
stark,Forte
brauchen,necessidade
Hand,mão
etwa,cerca de
weitere,Avançar
Ende,Fim
schreiben,Escreva
solch,tal
nie,Nunca
Fall,caso
schön,lindo
wirklich,mesmo
denen,o qual
nennen,nomear
warum,porque
ziehen,arrastar
Wort,Palavra
darauf,nele
eben,até
Seite,lado
Teil,Papel
jung,novo
vier,quatro
besser,melhorar
fast,aproximadamente
schnell,velozes
Stadt,cidade
spielen,jogar
zwar,no entanto
Euro,Euro
Arbeit,trabalhar
Million,milhão
Problem,problema
verstehen,para entender
bekommen,receber
meinen,minha
davon,a partir desse
fahren,passeio
kennen,saber
dich,tu
Mutter,mãe
Woche,Semana
Weg,caminho
weiter,avançar
Auge,Olho
oft,frequentemente
Leute,Pessoas
allerdings,De fato
sogar,até
jedoch,Contudo
setzen,por
deshalb,por esta razão
weit,longe
sitzen,sentar
Vater,Pai
dein,sua
arbeiten,trabalhar
Geld,dinheiro
Unternehmen,Perseguir
nächste,Próximo
erklären,explique
klar,Claro
Doktor,falsificar
Paar,Alguns
Recht,Direita
wegen,Porque
dir,para você
Wasser,agua
bestehen,consiste
versuchen,tentar
Punkt,Apontar
Grund,razão
Kopf,cabeça
beginnen,começar
laufen,para correr
Bild,foto
verschieden,diferente
Name,Sobrenome
Aufgabe,tarefa
schwer,pesado
entsprechen,corresponder
treffen,encontra
Art,Gentil
wohl,Nós vamos
Geschichte,História
erzählen,dizer
entstehen,desenvolve
sicher,seguro
neben,Próximo
allein,sozinho
Abbildung,Ilustração
hinter,Atrás
besonders,especialmente
tragen,carregar
kaum,dificilmente
Freund,amigo
fünf,cinco
scheinen,parece ser
Stunde,Hora
aussehen,visual
gern,de boa vontade
überhaupt,de forma alguma
bestimmt,com certeza
sowie,Como
Professor,professor
darüber,sobre isso
deren,cujo
schaffen,crio
damals,naquela época
erhalten,obtivermos
lernen,aprender
frei,gratuitamente
Wert,valor
beziehungsweise,ou
daran,para isso
suchen,procurar
Europa,Europa
gemeinsam,juntos
rund,por aí
Zahl,Número
Thema,Tema
handeln,Aja
Buch,Um livro
bisschen,pequeno
deutlich,Claro
anders,diferente
politisch,politicamente
lesen,ler
Blick,Visualizar
Form,forma
einzeln,individualmente
erreichen,alcançar
vergehen,passar
leicht,leve
je,sempre
verlieren,perder
beste,melhor
bilden,Formato
Monat,Mês
Lösung,solução
Sache,Matéria
bekannt,famoso
Ziel,Meta
steigen,levantar
eher,em vez
essen,comer
Minute,minuto
Nacht,Noite
Platz,Lugar
schlecht,mau
Spiel,Jogo
Familie,família
jemand,alguém
dessen,cujo
fallen,cair
zehn,dez
Preis,Preço
europäisch,europeu
sonst,de outra forma
Staat,País
helfen,ajuda
Bereich,área
tatsächlich,Na verdade
Ort,localização
Abend,Noite
einzig,só
Stelle,Trabalho
unterschiedlich,diferentemente
Gesicht,rosto
Entwicklung,desenvolvimento
mehrere,de várias
schließen,desligar
schließlich,afinal
legen,"Lugar, colocar"
direkt,direto
daher,conseqüentemente
offen,abrir
erkennen,detectar
Person,pessoa
Moment,momento
Schule,escola
darin,nisso
Auto,automóvel
niemand,ninguém
Gesellschaft,empresa
warten,espera
vorstellen,para apresentar
früh,cedo
treten,Passo
reden,conversa
Gruppe,grupo
Ding,coisa
na,n / D
gewinnen,ganhar
zunächst,primeiro
damit,em ordem de
Tür,porta
Schritt,Etapa
entwickeln,desenvolve
meiste,maioria
Möglichkeit,possibilidade
Sinn,senso
passieren,acontecer
manchmal,as vezes
Vergleich,comparação
System,sistema
Rolle,Função
Ergebnis,resultado
vergleichen,comparar
voll,completo
erwarten,esperar
obwohl,Apesar
Straße,estrada
Angst,medo
allgemein,geralmente
fühlen,sentir
jene,Essa
erinnern,lembrar
oh,Oh
bedeuten,significar
Stimme,Voz
Reaktion,reação
wirken,Agir
darstellen,representar
Raum,Espaço
Eltern,pais
bezeichnen,descrever
Funktion,função
häufig,freqüentemente
erscheinen,aparecer
Vereinigte Staaten von Amerika,Estados Unidos da America
Flüchtling,refugiado
früher,anteriormente
pro,Por
ergeben,resultado
entscheiden,decidir
Universität,universidade
betreffen,afetar
oben,acima
Richtung,Direção
bestimmen,determinar
fehlen,perdi
Sprache,língua
Produkt,produtos
Situation,situação
außerdem,além disso
nämlich,nomeadamente
international,internacional
Anfang,começo
sechs,seis
nutzen,usar
sozial,social
Folge,Consequência
Satz,Sentença
manche,algum
Verbindung,conexão
beschreiben,descrever
Licht,leve
ähnlich,semelhante
Regel,Regra
gegenüber,oposto a
Kollege,colega
bisher,até agora
tief,profundo
halb,metade
lachen,riso
ebenfalls,Além disso
sofort,agora mesmo
Grenze,Fronteira
ändern,mudança
Entscheidung,decisão
verlassen,saindo
Idee,idéia
verbinden,associado
Milliarde,bilhão
endlich,Finalmente
Energie,energia
plötzlich,De repente
danach,depois disso
Kraft,potência
lieber,em vez
gehören,pertencer
einsetzen,inserir
Gefühl,sentimento
trotzdem,Apesar disso
befinden,estão localizados
Information,em formação
dadurch,através disso
dagegen,contra isso
Weise,Caminho
Zukunft,futuro
wachsen,crescer
bitte,De nada
weiß,Branco
Text,texto
schwarz,Preto
sterben,morrer
Markt,mercado
rot,vermelho
halt,somente
Meter,metro
nahe,proximidade
Hilfe,Ajuda
Kapitel,Capítulo
ausgehen,saia
Bedeutung,significado
betrachten,considerar
Chemie,Química
Luft,Ar
Körper,Corpo
Struktur,estrutura
stimmen,vozes
bitten,pedindo por
Jahrhundert,século
wahrscheinlich,provavelmente
öffentlich,publicamente
euch,para você
insgesamt,um total de
anfangen,começar
genug,o suficiente
Deutsche,Alemão
verändern,mudança
Wohnung,apartamento
gelingen,ter sucesso
bald,em breve
gering,Pequena quantidade
Film,Filme
kaufen,comprar
ansehen,Olhe para a
öffnen,abrir
Musik,música
schauen,olhar
Stück,peça
besondere,especial
tot,morto
Gott,Deus
völlig,completamente
positiv,positivo
Gespräch,conversação
darum,portanto
Kunde,cliente
Menge,Multidão
Regierung,governo
Antwort,responder
annehmen,aceitar
falsch,incorreto
Zusammenhang,conexão
langsam,devagar
Arm,pobre
nachdem,depois disto
Tisch,tabela
rufen,ligar
bieten,Oferta
Herz,coração
zusammen,juntos
inzwischen,enquanto isso
ebenso,também
Boden,piso
bevor,antes
verwenden,usar
Politik,política
Tod,Morte
Erfolg,sucesso
zudem,"além do que, além do mais"
Bank,Banco
ab,longe
persönlich,pessoal
Präsident,Presidente
holen,buscar
Junge,Novo
sogenannt,assim chamado
Polizei,polícia
Chance,chance
gewiss,certamente
innerhalb,dentro
Kunst,arte
Lage,localização
Schüler,alunos
gesamt,total
Druck,Impressão
verschwinden,desaparecer
wohnen,residir
bewegen,mover
enthalten,conter
aufnehmen,assumir
Kosten,Custos
Wintersemester,Semestre de inverno
merken,perceber
fest,fixo
aktuell,atualmente
Begriff,expressão
erleben,experiência
relativ,relativo
laut,de acordo com
Fuß,Pé
Daten,Dados
Krieg,Guerra
Gast,Hóspede
Aussage,expressão
Gesetz,Lei
planen,planejar
schwierig,difícil
Gut,Bom
Kilometer,quilômetro
zusätzlich,Além disso
vergessen,esquecer
Gedanke,Pensamento
besitzen,ter
ach,Oh
Partei,Partido politico
freuen,ansioso
hängen,pendurar
berichten,reportar
Zelle,célula
eng,de perto
Kultur,Cultura
Prozess,processar
Sohn,Filho
Dank,Graças a
trotz,apesar de
fordern,exigem
studieren,estudar
gefallen,por favor
Mädchen,garota
verhalten,comporte-se
mindestens,pelo menos
ziemlich,bastante
Interesse,interesse
unterscheiden,distinguir
wobei,no qual
jeweils,respectivamente
reichen,passar
sieben,Sete
zumindest,pelo menos
schlagen,bater
Tier,animal
jedenfalls,em qualquer caso
am,no
erhöhen,levantar
sorgen,cuidar
Erfahrung,experiência
Patient,paciente
Morgen,manhã
Arzt,médico
geschehen,acontecer
Bayern,Baviera
lösen,resolver
irgendwie,de alguma maneira
anbieten,oferta
vorkommen,ocorrência
okay,OK
wünschen,desejar
interessieren,interesse
Unterschied,diferença
Foto,foto
trinken,beber
derselbe,o mesmo
wählen,Selecione
gleichzeitig,simultaneamente
knapp,escasso
Mitarbeiter,funcionários
übernehmen,assumir
Glück,felicidade                                                                                           
normal,normal
leider,infelizmente
Grundlage,base
acht,oito
Leistung,atuação
vorliegen,existir
erfolgen,tomar lugar
Beziehung,relação
zunehmen,ganhar peso
stattfinden,ocorrer
ankommen,chegar
auftreten,aparecer
insbesondere,em particular
technisch,tecnicamente
wann,quando
los,Vamos
Bett,cama
Höhe,Altura
wesentlich,essencial
englisch,Inglês
zuletzt,último
rein,puro
Zimmer,Quarto
indem,no qual
bauen,construir
Verhältnis,Relação
selten,Cru
Zeitung,jornal
innere,interno
beispielsweise,por exemplo
Bedingung,Doença
Fenster,janela
Zug,Comboio
derzeit,atualmente
funktionieren,função
sowohl,assim como
schlafen,dorme
statt,em vez de
Werk,plantar
grün,verde
Bürger,Cidadãos
dienen,servir
echt,real
Firma,empresa
Wirtschaft,O negócio
stecken,por
hoffen,esperança
erfahren,Com experiência
Mittel,Meio
Folie,frustrar
leisten,Dispor
Tochter,filha
Lehrer,professor
passen,ajuste
beobachten,ver
Einführung,introdução
Element,elemento
klingen,som
lieben,amor
Dame,senhora
Vorlesung,palestra
zählen,contando
meist,Maior parte do tempo
dunkel,Sombrio
